uid,title,validFrom,validThrough,url,text,legalActId,legalActType,legalActTitle,legalActDateAccepted,legalActNumber,publisherName,publisherId
469-2017,Поточні індивідуальні технологічні нормативи використання питної води публічного акціонерного товариства «Акціонерна компанія «Київводоканал»,2017-04-19,2022-04-19,https://old.kyivcity.gov.ua/done_img/f/%D0%A0%D0%9A%D0%9C%D0%94%D0%90-469-19042017.pdf,null,null,Розпорядження,Про затвердження поточних індивідуальних технологічних нормативів використання питної води публічного акціонерного товариства «Акціонерна компанія «Київводоканал»,2017-04-19,469,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
1348-2017,Поточні індивідуальні технологічні нормативи використання питної води комунального підприємства Міжнародного аеропорту «Київ» (Жуляни),2017-10-26,2022-10-26,https://kyivcity.gov.ua/npa/pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_komunalnogo_pidpriyemstva_mizhnarodnogo_aeroportu_kiv_zhulyani_128255/kmda__1348_128256/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання питної води комунального підприємства Міжнародного аеропорту «Київ» (Жуляни),2017-10-26,1348,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
1142-2019,Поточні індивідуальні технологічні нормативи використання питної води товариства з обмеженою відповідальністю «Джерело 1»,2019-06-24,2024-06-24,https://kyivcity.gov.ua/npa/pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_tovaristva_z_obmezhenoyu_vidpovidalnistyu_dzherelo_1/b9zb46enfv_kmda__1142.pdf,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання питної води товариства з обмеженою відповідальністю «Джерело 1»,2019-06-24,1142,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
194-2022,"Нормативи питного водопостачання та норм споживання послуг з централізованого водопостачання, постачання гарячої води, централізованого водовідведення у місті Києві",2022-01-21,null,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_normativiv_pitnogo_vodopostachannya_ta_norm_spozhivannya_poslug_z_tsentralizovanogo_vodopostachannya_postachannya_garyacho_vodi_tsentralizovanogo_vodovidvedennya_u_misti_kiyevi/unns4gc94h_kmda__194/,null,null,Розпорядження,"Про затвердження нормативів питного водопостачання та норм споживання послуг з централізованого водопостачання, постачання гарячої води, централізованого водовідведення у місті Києві",2022-01-21,194,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
671-2022,Поточні індивідуальні технологічні нормативи використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2022-10-01,2024-09-30,https://kyivcity.gov.ua/npa/pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_vodi_komunalnogo_pidpriyemstva_vikonavchogo_organu_kivradi_kivsko_misko_derzhavno_administratsi_kivteploenergo/kmva__671/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2022-09-30,671,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
11-2023,Поточні індивідуальні технологічні нормативи використання питної води приватного акціонерного товариства «Акціонерна компанія Київводоканал»,2023-01-10,2028-01-10,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_privatnogo_aktsionernogo_tovaristva_aktsionerna_kompaniya_kivvodokanal/kmva__11/,null,null,Розпорядження,Про затвердження поточних індивідуальних технологічних нормативів використання питної води приватного акціонерного товариства «Акціонерна компанія Київводоканал»,2023-01-10,11,Київська міська військова адміністрація,00022527
672-2024,Поточні індивідуальні технологічні нормативи використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2024-10-01,2026-09-30,https://kyivcity.gov.ua/npa/pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_vodi_komunalnogo_pidpriyemstva_vikonavchogo_organu_kivradi_kivsko_misko_derzhavno_administratsi_kivteploenergo_1008710/kmva__672_1008711/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2024-07-08,672,Київська міська військова адміністрація,00022527
965-2024,Поточні індивідуальні технологічні нормативи використання води ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЄВРО-РЕКОНСТРУКЦІЯ»,2024-10-01,2026-09-30,https://kyivcity.gov.ua/npa/pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_vodi_tovaristva_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/kmva__965/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання води ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЄВРО-РЕКОНСТРУКЦІЯ»,2024-08-28,965,Київська міська військова адміністрація,00022527
1287-2024,Поточні індивідуальні технологічні нормативи використання питної води акціонерного товариства «Київський радіозавод»,2024-11-08,2029-11-08,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_aktsionernogo_tovaristva_kivskiy_radiozavod/kmva__1287_compressed/,null,null,Розпорядження,Про затвердження поточних індивідуальних технологічних нормативів використання питної води акціонерного товариства «Київський радіозавод»,2024-11-08,1287,Київська міська військова адміністрація,00022527
13-2025,Поточні індивідуальні технологічні нормативи використання питної води ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ПРОФЦЕНТР АРМАДА КИЇВ»,2025-06-25,2030-06-25,https://kyivcity.gov.ua/npa/pro_zatverdzhennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_tov_proftsentr_armada_kiv/kmda__13_1027367/,null,null,Розпорядження,Про затвердження поточних індивідуальних технологічних нормативів використання питної води ТОВ «ПРОФЦЕНТР АРМАДА КИЇВ»,2025-06-25,13,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
31-2025,Поточні індивідуальні технологічні нормативи використання питної води ОБСЛУГОВУЮЧОГО КООПЕРАТИВУ «ДАЧНЕ ТОВАРИСТВО «ЄВРОПЕЙСЬКЕ»,2025-08-18,2030-08-18,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_zatverdzhennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_pitno_vodi_oblugovuyuchomu_kooperativu_dachne_tovaristvo_yevropeyske/kmda__31_1029401/,null,null,Розпорядження,Про затвердження поточних індивідуальних технологічних нормативів використання питної води ОБСЛУГОВУЮЧОМУ КООПЕРАТИВУ «ДАЧНЕ ТОВАРИСТВО «ЄВРОПЕЙСЬКЕ»,2025-08-18,31,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
68-2025,"Зміни до базових рівнів споживання теплової енергії та електричної енергії об'єктами енергосервісу, які перебувають у комунальній власності територіальної громади міста Києва",2025-10-16,null,https://kyivcity.gov.ua/npa/NPA_1033760/kmda__68_1033761/,null,null,Розпорядження,"Про внесення змін до базових рівнів споживання теплової енергії та електричної енергії об'єктами енергосервісу, які перебувають у комунальній власності територіальної громади міста Києва",2025-10-16,68,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
129-2026,Про встановлення поточних індивідуальних технологічних нормативів використання води ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЄВРО-РЕКОНСТРУКЦІЯ»,2026-10-01,2028-09-30,https://kyivcity.gov.ua/npa/rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_pro_vstanovlennya_potochnikh_individualnikh_tekhnologichnikh_normativiv_vikoristannya_vodi_tovaristva_z_obmezhenoyu_vidpovidalnistyu_yevro-rekonstruktsiya/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання води ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЄВРО-РЕКОНСТРУКЦІЯ»,2026-06-16,129,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
130-2026,Про встановлення поточних індивідуальних технологічних нормативів використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2026-10-01,2028-09-30,https://kyivcity.gov.ua/npa/NPA_1047358/,null,null,Розпорядження,Про встановлення поточних індивідуальних технологічних нормативів використання води КОМУНАЛЬНОГО ПІДПРИЄМСТВА ВИКОНАВЧОГО ОРГАНУ КИЇВРАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ) «КИЇВТЕПЛОЕНЕРГО»,2026-06-16,130,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
