uId,title,legalActTitle,type,objective,isVersionOfId,isVersionOfTitle,creatorName,creatorId,creationEndDate,url,text,bibliographicCitation,submissionDate,authorityName,authorityId
2025-01,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги зі стоматологічної допомоги, які надаються державними та комунальними закладами охорони здоров'я, у зв'язку з внесенням змін до статутів комунальних закладів охорони здоров'я стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набранням чинності Законом України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",1055,"Про встановлення тарифів на платні послуги зі стоматологічної допомоги, які надаються державними та комунальними закладами охорони здоров'я у м. Києві",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-02,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1056»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1056»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними державними закладами охорони здоров'я, у зв'язку з набранням чинності Закону України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",1056,"Про встановлення тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними державними закладами охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-03,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними комунальними закладами охорони здоров'я, у зв'язку з внесенням змін до статутів цих закладів стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набрання чинності Закону України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",171,"Про встановлення тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними комунальними закладами охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-04,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги за нозологіями та послуги, що входять до їх складу, які надають державні та комунальні заклади охорони здоров'я, у зв'язку з внесенням змін до статутів комунальних закладів охорони здоров'я стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набрання чинності Закону України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",557,"Про встановлення тарифів на платні послуги за нозологіями та послуги, що входять до їх складу, які надають лікувально-профілактичні державні та комунальні заклади охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-05,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 грудня 2018 року № 2341»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 грудня 2018 року № 2341»,Внесення змін до регуляторного акта,"Перегляд розміру плати за тимчасове користування місцями, що перебувають у комунальній власності територіальної громади міста Києва, для розміщення рекламних засобів з метою ефективного використання майна територіальної громади міста Києва",2341,"Про затвердження Порядку визначення розміру плати за тимчасове користування місцями, що перебувають у комунальній власності територіальної громади міста Києва, для розміщення рекламних засобів",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-06,"«Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»","Розпорядження начальника Київської міської військової адміністрації «Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»",Прийняття нового регуляторного акта,"Встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві",null,null,Департамент транспортної інфраструктури виконавчого органу Київської міської ради (Київської міської державної адміністрації),37405284,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-07,"«Про встановлення коефіцієнтів завантаженості спеціально обладнаних майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування спеціально обладнаними майданчиками для платного паркування транспортних засобів у місті Києві»","Розпорядження начальника Київської міської військової адміністрації «Про встановлення коефіцієнтів завантаженості спеціально обладнаних майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування спеціально обладнаними майданчиками для платного паркування транспортних засобів у місті Києві»",Прийняття нового регуляторного акта,"Встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві",null,null,Департамент транспортної інфраструктури виконавчого органу Київської міської ради (Київської міської державної адміністрації),37405284,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
2025-08,«Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,Розпорядження начальника Київської міської військової адміністрації «Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,Внесення змін до регуляторного акта,"Приведення Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності, затвердженого розпорядженням виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 жовтня 2018 року № 1887, зареєстрованим у Головному територіальному управлінні юстиції у місті Києві 24 жовтня 2018 року за № 221/2069, у відповідність із Законом України від 05 червня 2024 року № 3778-ІХ «Про внесення змін до деяких законодавчих актів України щодо впровадження електронних квитків на автомобільному та міському електричному транспорті»",1887,Про затвердження Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності,Департамент інформаційно-комунікаційних технологій виконавчого органу Київської міської ради (Київської міської державної адміністрації),40918711,2024-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_vid_09122024__1401_pro_zatverdzhennya_planu_diyalnosti_z_pidgotovki_proyektiv_regulyatornikh_aktiv_kivsko_misko_viyskovo_administratsi_na_2025_rik/kmva__1401/,null,null,2024-12-09,Київська міська військова адміністрація,00022527
KMVA-2025-01,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1055»,Прийняття нового регуляторного акта,"Втрата чинності тарифів на платні послуги зі стоматологічної допомоги, які надаються державними та комунальними закладами охорони здоров'я, у зв'язку з внесенням змін до статутів комунальних закладів охорони здоров'я стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набранням чинності Законом України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",null,null,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/proyekt_rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_24_veresnya_2014_roku__1055_1029221/,Проєкт,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-02,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1056»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 24 вересня 2014 року № 1056»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними державними закладами охорони здоров'я, у зв'язку з набранням чинності Законом України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",2014-02,"Про встановлення тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними державними закладами охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/proyekt_rozporyadzhennya_nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_24_veresnya_2014_roku__1056_1030858/,Проєкт,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-03,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 26 лютого 2015 року № 171»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними комунальними закладами охорони здоров'я, у зв'язку з внесенням змін до статутів цих закладів стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набранням чинності Законом України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",2015-11,"Про встановлення тарифів на платні послуги з медичного обслуговування, які надаються лікувально-профілактичними комунальними закладами охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/proyekt_rozporyadzhennya__nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_26_lyutogo_2015_roku__171/,Проєкт,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-04,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 11 червня 2015 року № 557»,Внесення змін до регуляторного акта,"Втрата чинності тарифів на платні послуги за нозологіями та послуги, що входять до їх складу, які надають державні та комунальні заклади охорони здоров'я, у зв'язку з внесенням змін до статутів комунальних закладів охорони здоров'я стосовно надання їм права самостійно визначати плату за надання платних послуг з медичного обслуговування, що надаються поза договорами про медичне обслуговування населення, укладеними з Національною службою здоров'я України, а також набранням чинності Законом України «Про внесення змін до деяких законодавчих актів України щодо удосконалення надання медичної допомоги» від 01.07.2022 № 2347-ІХ",2015-08,"Про встановлення тарифів на платні послуги за нозологіями та послуги, що входять до їх складу, які надають лікувально-профілактичні державні та комунальні заклади охорони здоров'я",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,https://kyivcity.gov.ua/publichna_informatsiia_Tag_166122/proyekt_rozporyadzhennya__nachalnika_kivsko_misko_viyskovo_administratsi_pro_vnesennya_zmin_do_rozporyadzhennya_vikonavchogo_organu_kivsko_misko_radi_kivsko_misko_derzhavno_administratsi_vid_11_chervnya_2015_roku__557/,Проєкт,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-05,«Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 грудня 2018 року № 2341»,Розпорядження начальника Київської міської військової адміністрації «Про внесення змін до розпорядження виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 грудня 2018 року № 2341»,Внесення змін до регуляторного акта,"Перегляд розміру плати за тимчасове користування місцями, що перебувають у комунальній власності територіальної громади міста Києва, для розміщення рекламних засобів з метою ефективного використання майна територіальної громади міста Києва",2018-01,"Про затвердження Порядку визначення розміру плати за тимчасове користування місцями, що перебувають у комунальній власності територіальної громади міста Києва, для розміщення рекламних засобів",Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,null,null,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-06,«Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати «Проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,Розпорядження начальника Київської міської військової адміністрації «Про затвердження Змін до Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності»,Внесення змін до регуляторного акта,"Приведення Порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті міста Києва незалежно від форм власності, затвердженого розпорядженням виконавчого органу Київської міської ради (Київської міської державної адміністрації) від 22 жовтня 2018 року № 1887, зареєстрованим у Головному територіальному управлінні юстиції у місті Києві 24 жовтня 2018 року за № 221/2069, у відповідність із Законом України від 05 червня 2024 року № 3778-ІХ «Про внесення змін до деяких законодавчих актів України щодо впровадження електронних квитків на автомобільному та міському електричному транспорті»",2018-08,Про затвердження порядку функціонування автоматизованої системи обліку оплати проїзду в міському пасажирському транспорті незалежно від форм власності,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),4633423,2025-12-31,null,null,null,null,Київська міська військова адміністрація,00022527
KMVA-2025-07,"«Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»","Розпорядження начальника Київської міської військової адміністрації «Про встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження улично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві»",Прийняття нового регуляторного акта,"Встановлення коефіцієнтів завантаженості відведених майданчиків для платного паркування транспортних засобів та коефіцієнтів для досягнення оптимального завантаження вулично-дорожньої мережі, які використовуються для формування тарифів на послуги з користування відведеними майданчиками для платного паркування транспортних засобів у місті Києві",null,null,Департамент транспортної інфраструктури виконавчого органу Київської міської ради (Київської міської державної адміністрації),37405284,2025-12-31,null,null,null,null,Київська міська військова адміністрація,00022527
