uid,number,dateSigned,authorityName,authorityId,customerName1,customerId1,customerName2,customerId2,customerName3,customerId3,customerName4,customerId4,description,cadastralNumber,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,district,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,periodStartDate,periodEndDate,paymentEndDate,status,amountValue,percent,paymentAmountValue,debtAmountValue,penyAmountValue,penaltyAmountValue,penaltyAmountCurrency
13/д-2023,13/д,2023-12-04,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «РК Галера»,39540720,null,null,null,null,null,null,"Нежитлові приміщення – кафе з літнім майданчиком загальною площею 574,80 кв. м (в т.ч. будівля літ. «Б» загальною площею 128,80 кв. м, будівля літ. «В» загальною площею 17,70 кв. м, будівля літ. «Г» загальною площею 10,30 кв. м, будівля літ. «Д» загальною площею 10,30 кв. м, будівля літ. «Е» загальною площею 10,30 кв. м, будівля літ. «Ж» загальною площею 24,50 кв. м, будівля літ. «З» загальною площею 161,30 кв. м, будівля літ. «И» загальною площею 8,70 кв. м, будівля літ «К» загальною площею 114,50 кв. м, будівля літ. «Л» загальною площею 37,90 кв. м, будівля літ. «М» загальною площею 34,00 кв. м, будівля літ. «Н» загальною площею 16,50 кв. м) (за даними технічної інвентаризації Товариства з обмеженою відповідальністю «ПРОЕКТТЕХСЕРВІСГРУП»)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Голосіївський,вул. Набережно-Корчуватська,35,null,2023-12-04,До повного виконання своїх зобов'язань,2023-12-26,Виконаний,80838.00,80838.00,80838.00,0,0,0,UAH
01/р-2024,01/р,2024-01-25,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція нежитлового приміщення № 61 загальною площею 76,20 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «Інженерно технічний центр «Будівельна експертиза»)",null,UA80000000000093317,01042,Україна,Київ,null,null,Київ,Печерський,бульв. Приймаченко Марії (Лихачова),5,null,2024-01-25,До повного виконання своїх зобов'язань,2024-02-20,Виконаний,1350.00,1350.00,1350.00,0,0,0,UAH
02/р-2024,02/р,2024-01-25,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Приватне акціонерне товариство «КОМПЛЕКС ЛИБІДСЬКИЙ»,32768518,null,null,null,null,null,null,"Реконструкція приміщень нежитлового будинку – павільйон-магазину літ. «В» загальною площею 217,60 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «Ріелтер-Україна»)",null,UA80000000000093317,03039,Україна,Київ,null,null,Київ,Голосіївський,вул. Грінченка Миколи,18,null,2024-01-25,До повного виконання своїх зобов'язань,2024-02-14,Виконаний,6804.00,6804.00,6804.00,0,0,0,UAH
03/р-2024,03/р,2024-02-20,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція нежитлового приміщення № 1 загальною площею 106,50 кв. м (за даними технічного паспорта Товариства з обмеженою відповідальністю «АРМОВІРБУД»)",null,UA80000000000093317,02121,Україна,Київ,null,null,Київ,Дарницький,вул. Декабристів,10-А,null,2024-02-20,До повного виконання своїх зобов'язань,2024-03-18,Виконаний,5940.00,5940.00,5940.00,0,0,0,UAH
04/р-2024,04/р,2024-02-20,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Приватне акціонерне товариство «МАРС»,14309379,null,null,null,null,null,null,"Реконструкція головного корпусу № 5 (без зміни функціонального призначення) літ. «Е» загальною площею 16 537,40 кв. м (в т.ч. загальна площа підземного паркінгу – 1 783,10 кв. м, загальна площа технічних приміщень – 467,60 кв. м) (за даними технічної інвентаризації Товариства з обмеженою відповідальністю «Центр незалежної експертної оцінки»)",null,UA80000000000093317,01033,Україна,Київ,null,null,Київ,Голосіївський,вул. Володимирська,101,null,2024-02-20,До повного виконання своїх зобов'язань,2024-02-29,Виконаний,2014038.00,2006586.00,2014038.00,0,0,0,UAH
05/р-2024,05/р,2024-02-26,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція приміщень житлового будинку літ. «А» загальною площею 497,80 кв. м, господарської будівлі літ. «Б» площею забудови 39,10 кв. м, навісу літ. «В» площею забудови 37,00 кв. м (за даними технічного паспорту Фізичної особи-підприємця Пашківський Дмитро Петрович)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Подільський,вул. Замковецька,84/2,null,2024-02-26,До повного виконання своїх зобов'язань,2024-03-21,Виконаний,285607.08,285607.08,285607.08,0,0,0,UAH
06/р-2024,06/р,2024-04-02,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Будівництво магазину з роздрібної торгівлі літ. «А» загальною площею 311,80 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «ПРОЕКТТЕХСЕРВІСГРУП»)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Дарницький,вул. Гришка Михайла,10-А,null,2024-04-02,До повного виконання своїх зобов'язань,2024-04-25,Виконаний,168372.00,168372.00,168372.00,0,0,0,UAH
07/д-2024,07/д,2024-04-03,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «КАПРІ»,31991320,Товариство з обмеженою відповідальністю «КОРСА»,31927867,Товариство з обмеженою відповідальністю «РІЕЛТІ СІТІ»,31928017,null,null,"Реконструкція приміщень для експлуатації і обслуговування торговельно-розважального центру літ. «Б», «Б», «Т» загальною площею 27 521,70 кв. м (в т.ч. частина будівлі літ. «Б» загальною площею 7 488,10 кв. м, частина будівлі літ. «Б» та будівля літ. «Б» загальною площею 14 228,00 кв. м, частина будівлі літ. «Б» загальною площею 4 448,60 кв. м, будівля літ. «Т» загальною площею 1 357,00 кв. м) (за даними технічної інвентаризації Товариства з обмеженою відповідальністю «Єдині інформаційні системи»)",null,UA80000000000093317,04107,Україна,Київ,null,null,Київ,Шевченківський,вул. Багговутівська,17-21,null,2024-04-03,До повного виконання своїх зобов'язань,2024-04-24,Виконаний,1269918.00,1269918.00,1269918.00,0,0,0,UAH
08/р-2024,08/р,2024-05-10,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «МЕД-ДЕО КОМПАНІ»,24742568,null,null,null,null,null,null,"Реконструкція нежитлових приміщень № 4, 5, 6 загальною площею 562,60 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «КОНСАЛТИНГОВА АГЕНЦІЯ З НЕРУХОМОСТІ» від 28.07.2021 (інвентаризаційна справа № б/н)) в нежитловій будівлі літ. «А»",null,UA80000000000093317,03179,Україна,Київ,null,null,Київ,Святошинський,вул. Ірпінська,78,null,2024-05-10,До повного виконання своїх зобов'язань,2024-05-29,Виконаний,13932.00,13932.00,13932.00,0,0,0,UAH
09/р-2024,09/р,2024-05-22,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція нежитлових приміщень № 107, № 108 з об'єднанням в одне нежитлове приміщення № 108 (заклад ресторанного господарства) з влаштуванням вхідної групи загальною площею 103,40 кв. м (за даними технічного паспорта Фізичної особи-підприємця Шалиго Олександр Миколайович)",null,UA80000000000093317,02068,Україна,Київ,null,null,Київ,Дарницький,вул. Драгоманова,38-А,null,2024-05-22,До повного виконання своїх зобов'язань,2024-06-17,Виконаний,2106.00,2106.00,2106.00,0,0,0,UAH
10/р-2024,10/р,2024-05-24,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «КСФ № 11»,39179059,null,null,null,null,null,null,"Реконструкція приміщень нежилої споруди – стимул літ. «Б» загальною площею 260,20 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «ПРОЕКТНО КОНСАЛТИНГОВА ГРУПА»)",null,UA80000000000093317,04202,Україна,Київ,null,null,Київ,Оболонський,просп. Литовський (Мінський),4,null,2024-05-24,До повного виконання своїх зобов'язань,2024-05-29,Виконаний,63774.00,63774.00,63774.00,0,0,0,UAH
11/р-2024,11/р,2024-06-11,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція квартири під нежитлове приміщення № 83 (група нежитлових приміщень № 1, № 2, № 3, № 4) з влаштуванням окремої вхідної групи загальною площею 161,00 кв. м (за даними технічного паспорта Товариства з обмеженою відповідальністю «Центральне БТІ»)",null,UA80000000000093317,02095,Україна,Київ,null,null,Київ,Дарницький,вул. Княжий Затон,12,null,2024-06-11,До повного виконання своїх зобов'язань,2024-07-05,Виконаний,30186.00,30186.00,30186.00,0,0,0,UAH
12/р-2024,12/р,2024-06-14,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «ФІРОС»,39488451,null,null,null,null,null,null,"Реконструкція нежитлової будівлі-кафе літ. «А» загальною площею 692,30 кв. м (за даними технічного паспорта Товариства з обмеженою відповідальністю «ПРОЕКТСЕРВІСГРУП»)",null,UA80000000000093317,02152,Україна,Київ,null,null,Київ,Дніпровський,вул. Березняківська,16,null,2024-06-14,До повного виконання своїх зобов'язань,2024-07-08,Виконаний,373842.00,373842.00,373842.00,0,0,0,UAH
13/р-2024,13/р,2024-06-28,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Будівництво садового будинку літ. «А» загальною площею 498,30 кв. м (за даними технічного паспорту Фізичної особи-підприємця Пилишенко Андрія Васильовича)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Святошинський,"просп. Перемоги, 15 км",діл. 2-А (с/т «Зв'язківець»),null,2024-06-28,До повного виконання своїх зобов'язань,2024-07-19,Виконаний,250973.78,250973.78,250973.78,0,0,0,UAH
14/р-2024,14/р,2024-08-21,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «КОНЦЕПТ-ГРУПП»,38751281,null,null,null,null,null,null,"Реконструкція прохідної літ. «Д» загальною площею 10,30 кв. м з прибудовою мийки самообслуговування літ. «С» загальною площею 35,90 кв. м (за даними технічного паспорту Фізичної особи-підприємця Дорошенка Олександра Васильовича від 28.09.2020 (інвентаризаційна справа № б/н) та інформації з Реєстру будівельної діяльності Єдиної державної електронної системи у сфері будівництва щодо технічної інвентаризації TI01:5263-5455-0784-1664)",null,UA80000000000093317,02093,Україна,Київ,null,null,Київ,Дарницький,вул. Бориспільська,26/1,null,2024-08-21,До повного виконання своїх зобов'язань,2024-09-16,Виконаний,19386.00,19386.00,19386.00,0,0,0,UAH
15/р-2024,15/р,2024-09-20,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «КАСПІЙ 777»,43532354,null,null,null,null,null,null,"Реконструкція приміщень будівлі автомийки літ. «А» загальною площею 285,60 кв. м (за даними технічного паспорту Комунального підприємства Київської міської ради «Київське міське бюро технічної інвентаризації» від 30.09.2022 (реєстраційний номер ТІ01:2775-1514-8715-7328) (інвентаризаційна справа № б/н)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Дарницький,просп. Петра Григоренка,1-Ж,null,2024-09-20,До повного виконання своїх зобов'язань,2024-10-03,Виконаний,154224.00,154224.00,154224.00,0,0,0,UAH
16/р-2024,16/р,2024-10-18,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Будівництво житлового будинку садибного типу загальною площею 2 609,50 кв. м (за інформацією з Реєстру будівельної діяльності Єдиної державної електронної системи у сфері будівництва щодо технічної інвентаризації ТІ01:4143-1173-3015-4786)",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Деснянський,вул. Мелетія Смотрицького (колишня Пожарського),70,null,2024-10-18,До повного виконання своїх зобов'язань,2024-10-27,Виконаний,49553.04,49553.04,49553.04,0,0,0,UAH
17/р-2024,17/р,2024-10-21,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Приватне підприємство «РАЙДУГА»,21562305,null,null,null,null,null,null,"Реконструкція нежитлових приміщень загальною площею 4 600,90 кв. м (за даними технічного паспорту Фізичної особи-підприємця Штеменка Сергія Миколайовича від 01.09.2021 (інвентаризаційна справа № TI-000046-09/21) та за інформацією з Реєстру будівельної діяльності Єдиної державної електронної системи у сфері будівництва щодо технічної інвентаризації TI01:6841-0517-9640-7953 (2 редакція від 09.09.2021))",null,UA80000000000093317,null,Україна,Київ,null,null,Київ,Дніпровський,вул. Гетьмана Павла Полуботка (колишня Попудренка),9-Г,null,2024-10-21,До повного виконання своїх зобов'язань,2024-11-12,Виконаний,652968.00,652968.00,652968.00,0,0,0,UAH
01/р-2025,01/р,2025-03-13,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реконструкція квартири № 101 загальною площею 72,20 кв. м (за даними технічного паспорта Фізичної особи-підприємця Єрко Дмитро Борисович)",null,UA80000000000093317,03143,Україна,Київ,null,null,Київ,Голосіївський,вул. Метрологічна,52,null,2025-03-13,До повного виконання своїх зобов'язань,2025-04-10,Виконаний,1616.05,1616.05,1616.05,0,0,0,UAH
02/р-2025,02/р,2025-09-04,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Фізична особа,xxxxxxxxxx,null,null,null,null,null,null,"Реставрація з пристосуванням нежитлового будинку під будинок з офісними приміщеннями та кафетерієм літ. «А» загальною площею 380,00 кв. м (за інформацією з Реєстру будівельної діяльності Єдиної державної електронної системи у сфері будівництва щодо технічної інвентаризації ТІ01:9328-7274-1742-3248 (4 редакція від 23.02.2022))",null,UA80000000000093317,04070,Україна,Київ,null,null,Київ,Подільський,Андріївський узвіз,10-а,null,2025-09-04,До повного виконання своїх зобов'язань,2025-09-23,Виконаний,74088.00,74088.00,74088.00,0,0,0,UAH
03/р-2025,03/р,2025-10-28,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633423,Товариство з обмеженою відповідальністю «ХАЙ-ТЕК»,31087909,null,null,null,null,null,null,"Реконструкція нежитлових приміщень № 32, 32А, 32Б, 32В з влаштуванням антресольного поверху в будівлі літ. «А» загальною площею 539,30 кв. м (за інформацією з Реєстру будівельної діяльності Єдиної державної електронної системи у сфері будівництва щодо технічної інвентаризації TI01:9518-3272-4373-6843 (2 редакція від 07.02.2024))",null,UA80000000000093317,03061,Україна,Київ,null,null,Київ,Солом'янський,вул. Миколи Шепелєва,2 літера А2,null,2025-10-28,До повного виконання своїх зобов'язань,2025-11-06,Виконаний,65394.00,65394.00,65394.00,0,0,0,UAH
01/д-2026,01/д,2026-02-17,Департамент економіки та інвестицій виконавчого органу Київської міської ради (Київської міської державної адміністрації),04633424,Товариство з обмеженою відповідальністю «АТЛАНТІК-ПАСІФІК ВЕНЧУРЗ»,35030924,null,null,null,null,null,null,"Реконструкція дрібнооптового торговельного центру літ. «А» загальною площею 25611,00 кв. м (за даними технічного паспорту Товариства з обмеженою відповідальністю «Антлайн») у складі 2 пускового комплексу ІІ черги проєкту «Реконструкція з добудовою будівлі дрібнооптового торговельного центру літ. «А» з трансформаторною підстанцією літ. «Б» за адресою: вул. Олександра Мишуги, 4 у Дарницькому районі м. Києва» (Коригування 2К)",null,UA80000000000093317,02141,Україна,Київ,null,null,Київ,Дарницький,вул. Олександра Мишуги,4,null,2026-02-17,До повного виконання своїх зобов'язань,2026-03-10,Чинний,2764150.00,2764150.00,2764150.00,0,0,0,UAH